ville;code_commune;nom_commune;zone;annee;type_local;prix_m2_median;nb_ventes
Bordeaux;33056;Blanquefort;peripherie;2023;Maison;3917.0;98
Bordeaux;33056;Blanquefort;peripherie;2024;Appartement;;27
Bordeaux;33056;Blanquefort;peripherie;2024;Maison;3590.0;72
Bordeaux;33056;Blanquefort;peripherie;2025;Appartement;2935.0;64
Bordeaux;33056;Blanquefort;peripherie;2025;Maison;3268.0;101
Bordeaux;33063;Bordeaux;centre;2021;Appartement;4600.0;3965
Bordeaux;33063;Bordeaux;centre;2021;Maison;5211.0;1486
Bordeaux;33063;Bordeaux;centre;2022;Appartement;4628.0;4145
Bordeaux;33063;Bordeaux;centre;2022;Maison;5398.0;1390
Bordeaux;33063;Bordeaux;centre;2023;Appartement;4533.0;3269
Bordeaux;33063;Bordeaux;centre;2023;Maison;5369.0;1056
Bordeaux;33063;Bordeaux;centre;2024;Appartement;4231.0;2868
Bordeaux;33063;Bordeaux;centre;2024;Maison;4964.0;866
Bordeaux;33063;Bordeaux;centre;2025;Appartement;4123.0;3424
Bordeaux;33063;Bordeaux;centre;2025;Maison;4855.0;1101
Bordeaux;33065;Bouliac;peripherie;2021;Appartement;;1
Bordeaux;33065;Bouliac;peripherie;2021;Maison;;23
Bordeaux;33065;Bouliac;peripherie;2022;Appartement;;1
Bordeaux;33065;Bouliac;peripherie;2022;Maison;;21
Bordeaux;33065;Bouliac;peripherie;2023;Appartement;;4
Bordeaux;33065;Bouliac;peripherie;2023;Maison;;20
Bordeaux;33065;Bouliac;peripherie;2024;Appartement;;5
Bordeaux;33065;Bouliac;peripherie;2024;Maison;;13
Bordeaux;33065;Bouliac;peripherie;2025;Appartement;;7
Bordeaux;33065;Bouliac;peripherie;2025;Maison;;12
Bordeaux;33069;Le Bouscat;peripherie;2021;Appartement;3741.0;300
Bordeaux;33069;Le Bouscat;peripherie;2021;Maison;5337.0;246
Bordeaux;33069;Le Bouscat;peripherie;2022;Appartement;3938.0;304
Bordeaux;33069;Le Bouscat;peripherie;2022;Maison;5654.0;253
Bordeaux;33069;Le Bouscat;peripherie;2023;Appartement;4065.0;175
Bordeaux;33069;Le Bouscat;peripherie;2023;Maison;5483.0;172
Bordeaux;33069;Le Bouscat;peripherie;2024;Appartement;3633.0;173
Bordeaux;33069;Le Bouscat;peripherie;2024;Maison;5115.0;144
Bordeaux;33069;Le Bouscat;peripherie;2025;Appartement;3843.0;242
Bordeaux;33069;Le Bouscat;peripherie;2025;Maison;4943.0;200
Bordeaux;33075;Bruges;peripherie;2021;Appartement;3498.0;266
Bordeaux;33075;Bruges;peripherie;2021;Maison;4326.0;148
Bordeaux;33075;Bruges;peripherie;2022;Appartement;3659.0;244
Bordeaux;33075;Bruges;peripherie;2022;Maison;4562.0;128
Bordeaux;33075;Bruges;peripherie;2023;Appartement;3648.0;216
Bordeaux;33075;Bruges;peripherie;2023;Maison;4545.0;83
Bordeaux;33075;Bruges;peripherie;2024;Appartement;3440.0;162
Bordeaux;33075;Bruges;peripherie;2024;Maison;4177.0;93
Bordeaux;33075;Bruges;peripherie;2025;Appartement;3475.0;195
Bordeaux;33075;Bruges;peripherie;2025;Maison;4200.0;113
Bordeaux;33096;Carbon-Blanc;peripherie;2021;Appartement;2984.0;37
Bordeaux;33096;Carbon-Blanc;peripherie;2021;Maison;3059.0;86
Bordeaux;33096;Carbon-Blanc;peripherie;2022;Appartement;2723.0;37
Bordeaux;33096;Carbon-Blanc;peripherie;2022;Maison;3230.0;81
Bordeaux;33096;Carbon-Blanc;peripherie;2023;Appartement;;21
Bordeaux;33096;Carbon-Blanc;peripherie;2023;Maison;3169.0;53
Bordeaux;33096;Carbon-Blanc;peripherie;2024;Appartement;;16
Bordeaux;33096;Carbon-Blanc;peripherie;2024;Maison;2907.0;41
Bordeaux;33096;Carbon-Blanc;peripherie;2025;Appartement;2402.0;36
Bordeaux;33096;Carbon-Blanc;peripherie;2025;Maison;3005.0;60
Bordeaux;33119;Cenon;peripherie;2021;Appartement;3018.0;214
Bordeaux;33119;Cenon;peripherie;2021;Maison;3691.0;155
Bordeaux;33119;Cenon;peripherie;2022;Appartement;3333.0;240
Bordeaux;33119;Cenon;peripherie;2022;Maison;3850.0;162
Bordeaux;33119;Cenon;peripherie;2023;Appartement;3286.0;225
Bordeaux;33119;Cenon;peripherie;2023;Maison;3707.0;111
Bordeaux;33119;Cenon;peripherie;2024;Appartement;3099.0;170
Bordeaux;33119;Cenon;peripherie;2024;Maison;3382.0;86
Bordeaux;33119;Cenon;peripherie;2025;Appartement;2964.0;257
Bordeaux;33119;Cenon;peripherie;2025;Maison;3294.0;118
Bordeaux;33162;Eysines;peripherie;2021;Appartement;3582.0;204
Bordeaux;33162;Eysines;peripherie;2021;Maison;3889.0;213
Bordeaux;33162;Eysines;peripherie;2022;Appartement;3630.0;180
Bordeaux;33162;Eysines;peripherie;2022;Maison;4023.0;192
Bordeaux;33162;Eysines;peripherie;2023;Appartement;3667.0;177
Bordeaux;33162;Eysines;peripherie;2023;Maison;4058.0;149
Bordeaux;33162;Eysines;peripherie;2024;Appartement;3479.0;186
Bordeaux;33162;Eysines;peripherie;2024;Maison;3537.0;122
Bordeaux;33162;Eysines;peripherie;2025;Appartement;3359.0;158
Bordeaux;33162;Eysines;peripherie;2025;Maison;3572.0;164
Bordeaux;33167;Floirac;peripherie;2021;Appartement;3178.0;100
Bordeaux;33167;Floirac;peripherie;2021;Maison;3448.0;104
Bordeaux;33167;Floirac;peripherie;2022;Appartement;3179.0;121
Bordeaux;33167;Floirac;peripherie;2022;Maison;3695.0;116
Bordeaux;33167;Floirac;peripherie;2023;Appartement;3333.0;73
Bordeaux;33167;Floirac;peripherie;2023;Maison;3584.0;86
Bordeaux;33167;Floirac;peripherie;2024;Appartement;3239.0;64
Bordeaux;33167;Floirac;peripherie;2024;Maison;3476.0;80
Bordeaux;33167;Floirac;peripherie;2025;Appartement;3092.0;92
Bordeaux;33167;Floirac;peripherie;2025;Maison;3187.0;82
Bordeaux;33192;Gradignan;peripherie;2021;Appartement;3463.0;196
Bordeaux;33192;Gradignan;peripherie;2021;Maison;3971.0;142
Bordeaux;33192;Gradignan;peripherie;2022;Appartement;3583.0;234
Bordeaux;33192;Gradignan;peripherie;2022;Maison;4135.0;149
Bordeaux;33192;Gradignan;peripherie;2023;Appartement;3629.0;176
Bordeaux;33192;Gradignan;peripherie;2023;Maison;3962.0;109
Bordeaux;33192;Gradignan;peripherie;2024;Appartement;3504.0;179
Bordeaux;33192;Gradignan;peripherie;2024;Maison;3694.0;101
Bordeaux;33192;Gradignan;peripherie;2025;Appartement;3393.0;185
Bordeaux;33192;Gradignan;peripherie;2025;Maison;3754.0;130
Bordeaux;33200;Le Haillan;peripherie;2021;Appartement;3767.0;70
Bordeaux;33200;Le Haillan;peripherie;2021;Maison;3958.0;109
Bordeaux;33200;Le Haillan;peripherie;2022;Appartement;3810.0;103
Bordeaux;33200;Le Haillan;peripherie;2022;Maison;3992.0;99
Bordeaux;33200;Le Haillan;peripherie;2023;Appartement;3673.0;79
Bordeaux;33200;Le Haillan;peripherie;2023;Maison;3912.0;65
Bordeaux;33200;Le Haillan;peripherie;2024;Appartement;3459.0;74
Bordeaux;33200;Le Haillan;peripherie;2024;Maison;3678.0;74
Bordeaux;33200;Le Haillan;peripherie;2025;Appartement;3445.0;108
Bordeaux;33200;Le Haillan;peripherie;2025;Maison;3665.0;80
Bordeaux;33249;Lormont;peripherie;2021;Appartement;2548.0;134
Bordeaux;33249;Lormont;peripherie;2021;Maison;3048.0;97
Bordeaux;33249;Lormont;peripherie;2022;Appartement;2574.0;142
Bordeaux;33249;Lormont;peripherie;2022;Maison;3232.0;87
Bordeaux;33249;Lormont;peripherie;2023;Appartement;2601.0;125
Bordeaux;33249;Lormont;peripherie;2023;Maison;3376.0;64
Bordeaux;33249;Lormont;peripherie;2024;Appartement;2264.0;118
Bordeaux;33249;Lormont;peripherie;2024;Maison;3058.0;67
Bordeaux;33249;Lormont;peripherie;2025;Appartement;2449.0;156
Bordeaux;33249;Lormont;peripherie;2025;Maison;3019.0;73
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2021;Appartement;3763.0;36
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2021;Maison;3638.0;68
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2022;Appartement;;27
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2022;Maison;4027.0;66
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2023;Appartement;;15
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2023;Maison;4090.0;48
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2024;Appartement;;21
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2024;Maison;3698.0;38
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2025;Appartement;3454.0;32
Bordeaux;33273;Martignas-sur-Jalle;peripherie;2025;Maison;3583.0;58
Bordeaux;33281;Mérignac;peripherie;2021;Appartement;3511.0;780
Bordeaux;33281;Mérignac;peripherie;2021;Maison;4291.0;447
Bordeaux;33281;Mérignac;peripherie;2022;Appartement;3640.0;844
Bordeaux;33281;Mérignac;peripherie;2022;Maison;4445.0;405
Bordeaux;33281;Mérignac;peripherie;2023;Appartement;3615.0;685
Bordeaux;33281;Mérignac;peripherie;2023;Maison;4535.0;314
Bordeaux;33281;Mérignac;peripherie;2024;Appartement;3415.0;575
Bordeaux;33281;Mérignac;peripherie;2024;Maison;4184.0;291
Bordeaux;33281;Mérignac;peripherie;2025;Appartement;3467.0;737
Bordeaux;33281;Mérignac;peripherie;2025;Maison;3951.0;351
Bordeaux;33312;Parempuyre;peripherie;2021;Appartement;3247.0;57
Bordeaux;33312;Parempuyre;peripherie;2021;Maison;3410.0;96
Bordeaux;33312;Parempuyre;peripherie;2022;Appartement;3372.0;40
Bordeaux;33312;Parempuyre;peripherie;2022;Maison;3648.0;84
Bordeaux;33312;Parempuyre;peripherie;2023;Appartement;3693.0;38
Bordeaux;33312;Parempuyre;peripherie;2023;Maison;3500.0;62
Bordeaux;33312;Parempuyre;peripherie;2024;Appartement;;24
Bordeaux;33312;Parempuyre;peripherie;2024;Maison;3197.0;74
Bordeaux;33312;Parempuyre;peripherie;2025;Appartement;3322.0;38
Bordeaux;33312;Parempuyre;peripherie;2025;Maison;3350.0;78
Bordeaux;33318;Pessac;peripherie;2021;Appartement;3600.0;375
Bordeaux;33318;Pessac;peripherie;2021;Maison;4127.0;463
Bordeaux;33318;Pessac;peripherie;2022;Appartement;3667.0;363
Bordeaux;33318;Pessac;peripherie;2022;Maison;4327.0;451
Bordeaux;33318;Pessac;peripherie;2023;Appartement;3634.0;267
Bordeaux;33318;Pessac;peripherie;2023;Maison;4379.0;303
Bordeaux;33318;Pessac;peripherie;2024;Appartement;3507.0;255
Bordeaux;33318;Pessac;peripherie;2024;Maison;3884.0;301
Bordeaux;33318;Pessac;peripherie;2025;Appartement;3476.0;292
Bordeaux;33318;Pessac;peripherie;2025;Maison;3762.0;378
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2021;Appartement;;7
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2021;Maison;3924.0;73
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2022;Appartement;;12
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2022;Maison;4265.0;54
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2023;Appartement;;3
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2023;Maison;4486.0;39
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2024;Appartement;;4
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2024;Maison;;29
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2025;Appartement;;7
Bordeaux;33376;Saint-Aubin-de-Médoc;peripherie;2025;Maison;3812.0;47
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2021;Appartement;;4
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2021;Maison;;18
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2022;Appartement;;6
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2022;Maison;;22
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2023;Appartement;;11
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2023;Maison;;17
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2024;Appartement;;8
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2024;Maison;;10
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2025;Appartement;;3
Bordeaux;33434;Saint-Louis-de-Montferrand;peripherie;2025;Maison;;17
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2021;Appartement;3569.0;80
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2021;Maison;3808.0;371
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2022;Appartement;3598.0;96
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2022;Maison;4067.0;291
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2023;Appartement;3750.0;73
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2023;Maison;3947.0;197
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2024;Appartement;3590.0;71
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2024;Maison;3656.0;209
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2025;Appartement;3560.0;97
Bordeaux;33449;Saint-Médard-en-Jalles;peripherie;2025;Maison;3607.0;244
Bordeaux;33487;Saint-Vincent-de-Paul;peripherie;2021;Maison;;11
Bordeaux;33487;Saint-Vincent-de-Paul;peripherie;2022;Maison;;11
Bordeaux;33487;Saint-Vincent-de-Paul;peripherie;2023;Maison;;5
Bordeaux;33487;Saint-Vincent-de-Paul;peripherie;2024;Maison;;3
Bordeaux;33487;Saint-Vincent-de-Paul;peripherie;2025;Appartement;;1
Bordeaux;33487;Saint-Vincent-de-Paul;peripherie;2025;Maison;;11
Bordeaux;33519;Le Taillan-Médoc;peripherie;2021;Appartement;;18
Bordeaux;33519;Le Taillan-Médoc;peripherie;2021;Maison;3753.0;108
Bordeaux;33519;Le Taillan-Médoc;peripherie;2022;Appartement;;25
Bordeaux;33519;Le Taillan-Médoc;peripherie;2022;Maison;3830.0;101
Bordeaux;33519;Le Taillan-Médoc;peripherie;2023;Appartement;;8
Bordeaux;33519;Le Taillan-Médoc;peripherie;2023;Maison;3718.0;84
Bordeaux;33519;Le Taillan-Médoc;peripherie;2024;Appartement;;22
Bordeaux;33519;Le Taillan-Médoc;peripherie;2024;Maison;3502.0;70
Bordeaux;33519;Le Taillan-Médoc;peripherie;2025;Appartement;;24
Bordeaux;33519;Le Taillan-Médoc;peripherie;2025;Maison;3427.0;97
Bordeaux;33522;Talence;peripherie;2021;Appartement;3840.0;393
Bordeaux;33522;Talence;peripherie;2021;Maison;4711.0;291
Bordeaux;33522;Talence;peripherie;2022;Appartement;4164.0;458
Bordeaux;33522;Talence;peripherie;2022;Maison;4978.0;298
Bordeaux;33522;Talence;peripherie;2023;Appartement;4000.0;381
Bordeaux;33522;Talence;peripherie;2023;Maison;4872.0;210
Bordeaux;33522;Talence;peripherie;2024;Appartement;3799.0;346
Bordeaux;33522;Talence;peripherie;2024;Maison;4434.0;177
Bordeaux;33522;Talence;peripherie;2025;Appartement;3900.0;413
Bordeaux;33522;Talence;peripherie;2025;Maison;4313.0;215
Bordeaux;33550;Villenave-d'Ornon;peripherie;2021;Appartement;3333.0;209
Bordeaux;33550;Villenave-d'Ornon;peripherie;2021;Maison;3722.0;348
Bordeaux;33550;Villenave-d'Ornon;peripherie;2022;Appartement;3604.0;212
Bordeaux;33550;Villenave-d'Ornon;peripherie;2022;Maison;3994.0;346
Bordeaux;33550;Villenave-d'Ornon;peripherie;2023;Appartement;3459.0;187
Bordeaux;33550;Villenave-d'Ornon;peripherie;2023;Maison;3824.0;267
Bordeaux;33550;Villenave-d'Ornon;peripherie;2024;Appartement;3294.0;195
Bordeaux;33550;Villenave-d'Ornon;peripherie;2024;Maison;3532.0;204
Bordeaux;33550;Villenave-d'Ornon;peripherie;2025;Appartement;3283.0;248
Bordeaux;33550;Villenave-d'Ornon;peripherie;2025;Maison;3451.0;261
Lille;59005;Allennes-les-Marais;peripherie;2021;Maison;2346.0;53
Lille;59005;Allennes-les-Marais;peripherie;2022;Maison;2425.0;62
Lille;59005;Allennes-les-Marais;peripherie;2023;Maison;;25
Lille;59005;Allennes-les-Marais;peripherie;2024;Maison;;24
Lille;59005;Allennes-les-Marais;peripherie;2025;Maison;2108.0;30
Lille;59009;Villeneuve-d'Ascq;peripherie;2021;Appartement;4544.0;448
Lille;59009;Villeneuve-d'Ascq;peripherie;2021;Maison;3011.0;436
Lille;59009;Villeneuve-d'Ascq;peripherie;2022;Appartement;2385.0;303
Lille;59009;Villeneuve-d'Ascq;peripherie;2022;Maison;3303.0;428
Lille;59009;Villeneuve-d'Ascq;peripherie;2023;Appartement;2552.0;193
Lille;59009;Villeneuve-d'Ascq;peripherie;2023;Maison;3088.0;306
Lille;59009;Villeneuve-d'Ascq;peripherie;2024;Appartement;2396.0;172
Lille;59009;Villeneuve-d'Ascq;peripherie;2024;Maison;2925.0;364
Lille;59009;Villeneuve-d'Ascq;peripherie;2025;Appartement;2566.0;174
Lille;59009;Villeneuve-d'Ascq;peripherie;2025;Maison;3086.0;324
Lille;59011;Annœullin;peripherie;2021;Appartement;;10
Lille;59011;Annœullin;peripherie;2021;Maison;2263.0;119
Lille;59011;Annœullin;peripherie;2022;Appartement;;11
Lille;59011;Annœullin;peripherie;2022;Maison;2259.0;102
Lille;59011;Annœullin;peripherie;2023;Appartement;;10
Lille;59011;Annœullin;peripherie;2023;Maison;2338.0;80
Lille;59011;Annœullin;peripherie;2024;Appartement;;9
Lille;59011;Annœullin;peripherie;2024;Maison;2118.0;72
Lille;59011;Annœullin;peripherie;2025;Appartement;;14
Lille;59011;Annœullin;peripherie;2025;Maison;2200.0;116
Lille;59013;Anstaing;peripherie;2021;Maison;;17
Lille;59013;Anstaing;peripherie;2022;Appartement;;1
Lille;59013;Anstaing;peripherie;2022;Maison;3350.0;30
Lille;59013;Anstaing;peripherie;2023;Appartement;;1
Lille;59013;Anstaing;peripherie;2023;Maison;;14
Lille;59013;Anstaing;peripherie;2024;Appartement;;1
Lille;59013;Anstaing;peripherie;2024;Maison;;9
Lille;59013;Anstaing;peripherie;2025;Appartement;;1
Lille;59013;Anstaing;peripherie;2025;Maison;;19
Lille;59017;Armentières;peripherie;2021;Appartement;1812.0;139
Lille;59017;Armentières;peripherie;2021;Maison;1865.0;344
Lille;59017;Armentières;peripherie;2022;Appartement;1890.0;150
Lille;59017;Armentières;peripherie;2022;Maison;2008.0;330
Lille;59017;Armentières;peripherie;2023;Appartement;1890.0;112
Lille;59017;Armentières;peripherie;2023;Maison;1857.0;261
Lille;59017;Armentières;peripherie;2024;Appartement;1951.0;79
Lille;59017;Armentières;peripherie;2024;Maison;1872.0;214
Lille;59017;Armentières;peripherie;2025;Appartement;1938.0;105
Lille;59017;Armentières;peripherie;2025;Maison;1900.0;262
Lille;59025;Aubers;peripherie;2021;Maison;;9
Lille;59025;Aubers;peripherie;2022;Appartement;;1
Lille;59025;Aubers;peripherie;2022;Maison;;21
Lille;59025;Aubers;peripherie;2023;Maison;;27
Lille;59025;Aubers;peripherie;2024;Appartement;;1
Lille;59025;Aubers;peripherie;2024;Maison;;15
Lille;59025;Aubers;peripherie;2025;Maison;;13
Lille;59044;Baisieux;peripherie;2021;Appartement;;5
Lille;59044;Baisieux;peripherie;2021;Maison;2635.0;55
Lille;59044;Baisieux;peripherie;2022;Appartement;;4
Lille;59044;Baisieux;peripherie;2022;Maison;2852.0;63
Lille;59044;Baisieux;peripherie;2023;Appartement;;2
Lille;59044;Baisieux;peripherie;2023;Maison;2838.0;45
Lille;59044;Baisieux;peripherie;2024;Appartement;;2
Lille;59044;Baisieux;peripherie;2024;Maison;2857.0;47
Lille;59044;Baisieux;peripherie;2025;Appartement;;2
Lille;59044;Baisieux;peripherie;2025;Maison;2932.0;64
Lille;59051;La Bassée;peripherie;2021;Appartement;;11
Lille;59051;La Bassée;peripherie;2021;Maison;1909.0;90
Lille;59051;La Bassée;peripherie;2022;Appartement;;12
Lille;59051;La Bassée;peripherie;2022;Maison;2074.0;81
Lille;59051;La Bassée;peripherie;2023;Appartement;;6
Lille;59051;La Bassée;peripherie;2023;Maison;1894.0;52
Lille;59051;La Bassée;peripherie;2024;Appartement;;5
Lille;59051;La Bassée;peripherie;2024;Maison;1789.0;72
Lille;59051;La Bassée;peripherie;2025;Appartement;;10
Lille;59051;La Bassée;peripherie;2025;Maison;1871.0;79
Lille;59052;Bauvin;peripherie;2021;Maison;2018.0;81
Lille;59052;Bauvin;peripherie;2022;Maison;2136.0;64
Lille;59052;Bauvin;peripherie;2023;Appartement;;1
Lille;59052;Bauvin;peripherie;2023;Maison;1927.0;49
Lille;59052;Bauvin;peripherie;2024;Maison;1932.0;38
Lille;59052;Bauvin;peripherie;2025;Appartement;;1
Lille;59052;Bauvin;peripherie;2025;Maison;2009.0;66
Lille;59056;Beaucamps-Ligny;peripherie;2021;Appartement;;3
Lille;59056;Beaucamps-Ligny;peripherie;2021;Maison;;11
Lille;59056;Beaucamps-Ligny;peripherie;2022;Appartement;;4
Lille;59056;Beaucamps-Ligny;peripherie;2022;Maison;;7
Lille;59056;Beaucamps-Ligny;peripherie;2023;Maison;;11
Lille;59056;Beaucamps-Ligny;peripherie;2024;Maison;;5
Lille;59056;Beaucamps-Ligny;peripherie;2025;Maison;;7
Lille;59088;Bois-Grenier;peripherie;2021;Maison;;16
Lille;59088;Bois-Grenier;peripherie;2022;Appartement;;1
Lille;59088;Bois-Grenier;peripherie;2022;Maison;;18
Lille;59088;Bois-Grenier;peripherie;2023;Appartement;;1
Lille;59088;Bois-Grenier;peripherie;2023;Maison;;12
Lille;59088;Bois-Grenier;peripherie;2024;Appartement;;6
Lille;59088;Bois-Grenier;peripherie;2024;Maison;;9
Lille;59088;Bois-Grenier;peripherie;2025;Maison;;14
Lille;59090;Bondues;peripherie;2021;Appartement;;10
Lille;59090;Bondues;peripherie;2021;Maison;3839.0;93
Lille;59090;Bondues;peripherie;2022;Appartement;;9
Lille;59090;Bondues;peripherie;2022;Maison;3991.0;99
Lille;59090;Bondues;peripherie;2023;Appartement;;6
Lille;59090;Bondues;peripherie;2023;Maison;4125.0;85
Lille;59090;Bondues;peripherie;2024;Appartement;;13
Lille;59090;Bondues;peripherie;2024;Maison;3580.0;62
Lille;59090;Bondues;peripherie;2025;Appartement;;9
Lille;59090;Bondues;peripherie;2025;Maison;3999.0;80
Lille;59098;Bousbecque;peripherie;2021;Appartement;;18
Lille;59098;Bousbecque;peripherie;2021;Maison;2617.0;61
Lille;59098;Bousbecque;peripherie;2022;Appartement;;11
Lille;59098;Bousbecque;peripherie;2022;Maison;2620.0;55
Lille;59098;Bousbecque;peripherie;2023;Appartement;;8
Lille;59098;Bousbecque;peripherie;2023;Maison;2746.0;32
Lille;59098;Bousbecque;peripherie;2024;Appartement;;8
Lille;59098;Bousbecque;peripherie;2024;Maison;2561.0;41
Lille;59098;Bousbecque;peripherie;2025;Appartement;;6
Lille;59098;Bousbecque;peripherie;2025;Maison;2878.0;51
Lille;59106;Bouvines;peripherie;2021;Maison;;14
Lille;59106;Bouvines;peripherie;2022;Maison;;14
Lille;59106;Bouvines;peripherie;2023;Maison;;5
Lille;59106;Bouvines;peripherie;2024;Maison;;4
