ville;annee;type_local;zone;prix_m2_median;nb_ventes
Rennes;2023;Maison;centre;5033.0;384
Rennes;2023;Maison;peripherie;3063.0;1440
Rennes;2024;Appartement;centre;3608.0;2557
Rennes;2024;Appartement;peripherie;3058.0;1035
Rennes;2024;Maison;centre;4615.0;397
Rennes;2024;Maison;peripherie;2900.0;1268
Rennes;2025;Appartement;centre;3700.0;2872
Rennes;2025;Appartement;peripherie;3147.0;1275
Rennes;2025;Maison;centre;4500.0;496
Rennes;2025;Maison;peripherie;2914.0;1485
Toulouse;2021;Appartement;centre;3214.0;7904
Toulouse;2021;Appartement;peripherie;2674.0;2071
Toulouse;2021;Maison;centre;3791.0;1439
Toulouse;2021;Maison;peripherie;3102.0;2276
Toulouse;2022;Appartement;centre;3312.0;8238
Toulouse;2022;Appartement;peripherie;2778.0;2226
Toulouse;2022;Maison;centre;4000.0;1377
Toulouse;2022;Maison;peripherie;3258.0;2273
Toulouse;2023;Appartement;centre;3308.0;6226
Toulouse;2023;Appartement;peripherie;2828.0;1688
Toulouse;2023;Maison;centre;3963.0;1039
Toulouse;2023;Maison;peripherie;3208.0;1767
Toulouse;2024;Appartement;centre;3185.0;5559
Toulouse;2024;Appartement;peripherie;2741.0;1472
Toulouse;2024;Maison;centre;3666.0;963
Toulouse;2024;Maison;peripherie;3060.0;1577
Toulouse;2025;Appartement;centre;3251.0;6780
Toulouse;2025;Appartement;peripherie;2785.0;1782
Toulouse;2025;Maison;centre;3708.0;1170
Toulouse;2025;Maison;peripherie;3016.0;1928
